date,amount,description,reference,balance
2026-01-03,9500,TCS Ltd discover 687,,14504
2026-04-14,-7703,Amazon family 653,REF3431,22972
2026-04-14,-7703,Amazon family 653,REF3431,22972
2026-01-29,-705,TCS collection 195,,54176
2026-03-01,8921,UBER TRIP project 382,,50756
2026-04-08,8781,Tata Consultancy Services education 311,,31080
2026-01-20,-1849,Swiggy India close 700,,97689
2026-01-20,-1849,Swiggy India close 700,,97689
2026-01-14,-4962,AMZN gun 232,REF4295,93870
2026-02-11,8722,SWIGGY job 255,REF1172,34836
2026-01-16,-304,Uber throw 770,,40677
2026-02-13,-3879,AMZN rate 776,REF7796,31378
2026-03-29,4170,Swiggy India debate 864,,52134
2026-03-29,4170,Swiggy India debate 864,,52134
2026-04-09,-6165,TCS meeting 689,,42225
2026-04-11,8516,Swiggy India figure 946,REF1866,41017
2026-02-17,-6799,Swiggy India from 108,,86254
2026-01-19,-8802,TCS Ltd region 841,,27325
2026-02-06,4008,AMZN officer 530,REF6073,74313
2026-03-24,-7082,Swiggy India site 842,,99987
2026-04-06,-1167,Uber if 912,,73886
2026-04-12,-7225,Swiggy everybody 264,,89159
2026-04-09,-3870,Uber India get 266,REF2037,63731
2026-04-09,-3870,Uber India get 266,REF2037,63731
2026-04-09,1388,Amazon will 357,,11776
2026-03-02,2538,SWIGGY himself 135,,72257
2026-03-13,5351,UBER TRIP make 534,REF5540,56388
2026-04-14,-8229,SWIGGY visit 821,,95979
2026-04-14,-8229,SWIGGY visit 821,,95979
2026-04-05,3529,TCS Ltd cultural 827,,55746
2026-04-05,3529,TCS Ltd cultural 827,,55746
2026-03-27,1379,SWIGGY manager 427,REF8550,54212
2026-03-30,-1303,Uber large 715,REF8697,79267
2026-02-27,9163,AMZN name 611,,67011
2026-03-13,9537,Swiggy India everybody 665,REF7287,75261
2026-02-26,-4134,Amazon season 813,,99205
2026-01-16,-9434,UBER TRIP century 572,REF3394,73397
2026-03-17,3503,TCS seven 969,REF2821,69389
2026-03-26,-5485,TCS Ltd best 463,REF3621,44394
2026-03-20,7962,Swiggy India though 907,,22278
2026-03-31,3960,Swiggy Democrat 828,,52413
2026-03-05,572,TCS hair 824,,24253
2026-02-13,5838,SWIGGY black 542,,43857
2026-03-16,5345,TCS author 435,,64193
2026-03-05,-2790,Uber India set 479,REF3704,53382
2026-02-24,-6209,TCS Ltd month 486,,38330
2026-01-25,5892,SWIGGY other 271,REF9301,64657
2026-01-25,5892,SWIGGY other 271,REF9301,64657
2026-03-15,3630,AMZN front 642,REF3818,10206
2026-01-16,6702,Uber offer 452,,51257
2026-01-27,3265,UBER TRIP standard 842,REF3860,96298
2026-02-13,-3816,Uber India open 307,REF7124,70835
2026-01-29,-5820,UBER TRIP someone 747,REF1119,20466
2026-03-25,-2523,SWIGGY audience 333,,46097
2026-04-13,-7187,AMZN environmental 321,REF4052,74054
2026-04-04,-9049,AMZN bar 985,REF1967,85524
2026-04-16,2043,Amazon gun 821,REF5083,60952
2026-04-06,-6838,UBER TRIP sit 561,REF5883,90383
2026-03-10,9835,AMZN data 167,,75907
2026-01-08,7700,Uber India sell 852,REF5755,57105
2026-03-21,-9322,SWIGGY line 137,REF1112,87699
2026-03-21,-9322,SWIGGY line 137,REF1112,87699
2026-03-22,6808,TCS light 107,,47925
2026-03-22,6808,TCS light 107,,47925
2026-04-05,-1888,TCS Ltd claim 400,REF7079,71118
2026-01-11,-600,Amazon subject 540,REF6333,95981
2026-02-10,-684,Amazon India Pvt Ltd worker 565,,69711
2026-02-02,2668,Uber recently 460,REF2863,41428
2026-02-02,2668,Uber recently 460,REF2863,41428
2026-01-24,-8194,TCS threat 220,,64866
2026-04-10,7726,TCS Ltd church 631,,30636
2026-02-12,3145,AMZN begin 313,REF7296,63977
2026-02-09,2880,UBER TRIP address 201,,66361
2026-01-05,7377,UBER TRIP able 843,REF9305,29081
2026-03-11,2691,SWIGGY reason 909,REF4506,35642
2026-03-11,-9796,Uber India still 344,REF6342,17513
2026-01-01,8292,Amazon wonder 917,REF7244,97862
2026-04-06,-2215,TCS Ltd low 942,,47755
2026-04-06,-2215,TCS Ltd low 942,,47755
2026-01-02,1279,TCS weight 879,,57424
2026-04-05,-1444,TCS number 830,,20046
2026-01-26,8392,Swiggy every 968,REF5876,34070
2026-01-26,8392,Swiggy every 968,REF5876,34070
2026-03-01,3382,Amazon there 179,,59537
2026-04-14,3909,Uber realize 251,REF3950,85842
2026-04-08,-9604,TCS Ltd likely 388,,23656
2026-04-06,4788,Amazon India Pvt Ltd entire 474,REF4043,21916
2026-03-16,4667,AMZN represent 595,,17672
2026-01-13,-7696,Uber our 810,,36079
2026-04-07,-9568,UBER TRIP minute 380,REF4456,79655
2026-01-17,-4113,AMZN picture 326,REF6614,31212
2026-02-01,-5104,TCS Ltd level 941,,95993
2026-03-01,2074,Uber ability 876,REF2869,58012
2026-03-10,-1068,Swiggy India traditional 906,,35862
2026-03-10,-1068,Swiggy India traditional 906,,35862
2026-01-12,4829,Uber India building 876,,53961
2026-01-10,-3927,Tata Consultancy Services figure 321,,87034
2026-01-29,8483,Amazon south 778,REF8730,53064
2026-01-18,-2875,Amazon sit 974,REF8284,92315
2026-03-31,6778,Swiggy India feeling 338,REF7379,75461
2026-03-31,6778,Swiggy India feeling 338,REF7379,75461
2026-03-04,-8413,Uber list 532,,72703
2026-04-11,-9689,TCS Ltd mission 855,,83637
2026-01-04,-3000,UBER TRIP car 989,,77327
2026-01-01,-3691,Tata Consultancy Services pick 396,,31067
2026-03-16,-8247,Uber seek 801,,57374
2026-03-04,-1693,TCS Ltd cut 333,,24623
2026-03-25,-4415,SWIGGY memory 679,REF8286,17229
2026-01-22,3180,UBER TRIP instead 154,REF9467,26882
2026-02-01,7767,Amazon country 406,,18939
2026-04-12,5284,SWIGGY some 265,REF6622,28536
2026-02-08,395,SWIGGY consumer 371,,39487
2026-01-07,-5457,Amazon her 549,REF7682,44390
2026-04-08,1060,Swiggy quality 743,,96680
2026-02-27,-5843,Swiggy mention 409,REF1857,10048
2026-02-21,-1700,UBER TRIP Mrs 500,REF4299,68305
2026-04-18,7343,TCS stand 413,REF2298,70845
2026-04-01,5951,TCS great 752,REF2303,67613
2026-03-25,8676,TCS you 668,REF5768,56268
2026-03-31,1757,Uber India several 474,REF6884,95825
2026-03-31,1757,Uber India several 474,REF6884,95825
2026-04-12,7495,Amazon guy 902,REF5927,26279
2026-01-18,7977,Swiggy India question 365,REF7035,19520
2026-03-20,-6170,Swiggy response 863,,68770
2026-04-09,4384,UBER TRIP sort 889,,70868
2026-04-09,4384,UBER TRIP sort 889,,70868
2026-01-24,3529,Swiggy produce 870,REF7278,61028
2026-02-12,-1151,AMZN hotel 318,REF1763,43177
2026-01-29,-3100,Uber later 941,,55358
2026-01-29,-3100,Uber later 941,,55358
2026-02-13,-5950,TCS sure 663,REF1865,63168
2026-02-13,-5950,TCS sure 663,REF1865,63168
2026-04-18,4235,Amazon career 977,,38741
2026-02-03,8109,Uber say 943,,98600
2026-03-17,6484,Amazon can 324,REF4811,52572
2026-02-08,-9094,Swiggy India choice 159,,48338
2026-01-19,-9507,UBER TRIP pattern 267,REF9213,83247
2026-01-19,-9507,UBER TRIP pattern 267,REF9213,83247
2026-04-08,3142,TCS Ltd year 939,REF9646,52952
2026-02-25,1528,Amazon yes 268,REF5079,36417
2026-01-14,-1108,Tata Consultancy Services thousand 814,REF9942,93602
2026-01-17,2652,TCS health 507,,45225
2026-02-17,4227,TCS citizen 136,,77650
2026-02-18,-6994,Swiggy India position 376,,72739
2026-03-11,7602,Uber president 922,,74434
2026-03-07,1424,SWIGGY without 700,,72070
2026-03-07,1424,SWIGGY without 700,,72070
2026-02-26,2578,Amazon ability 720,REF6126,82747
2026-03-18,7591,Amazon India Pvt Ltd us 793,REF1714,87656
2026-02-26,1414,Swiggy discuss 271,REF2660,40712
2026-02-15,5205,Swiggy India note 564,,36405
2026-01-30,8301,UBER TRIP focus 460,REF7116,40389
2026-03-08,-3856,TCS work 179,REF2989,76357
2026-02-05,-9170,Swiggy believe 925,REF5743,57184
2026-02-27,-2028,SWIGGY western 214,REF5365,18675
2026-03-02,6836,Tata Consultancy Services force 505,REF2306,82277
2026-02-23,9807,Uber India second 775,,59086
2026-04-03,-3400,Tata Consultancy Services cover 779,,18193
2026-02-12,-2891,Swiggy India trouble 539,,47245
2026-02-12,-2891,Swiggy India trouble 539,,47245
2026-03-20,-9602,Tata Consultancy Services important 500,REF8226,60926
2026-03-02,-5881,Amazon truth 134,,12295
2026-03-03,6822,Tata Consultancy Services provide 160,REF5325,59046
2026-01-28,-4341,Amazon India Pvt Ltd glass 976,,86492
2026-04-04,8811,Uber India go 881,REF4880,10010
2026-01-13,660,Uber find 341,REF4053,76965
2026-01-04,8486,TCS weight 392,REF7972,35331
2026-01-04,8486,TCS weight 392,REF7972,35331
2026-03-23,-2132,Swiggy happen 717,REF8073,19757
2026-03-11,-7860,Amazon India Pvt Ltd series 916,REF1584,25493
2026-03-28,5979,AMZN coach 193,,65863
2026-03-02,7153,TCS feeling 186,REF7563,57369
2026-03-01,-6984,Swiggy India police 119,REF4632,47837
2026-04-18,-3829,Uber tell 785,,44028
2026-02-19,-1773,Swiggy India financial 838,REF7006,31651
2026-02-25,-8023,UBER TRIP pick 789,,30172
2026-01-13,9866,Uber certainly 174,,43175
2026-02-24,9938,UBER TRIP their 561,REF1130,44391
2026-03-30,4423,Amazon India Pvt Ltd choose 950,REF2328,28501
2026-02-23,1687,Swiggy view 225,REF4741,94344
2026-02-23,1687,Swiggy view 225,REF4741,94344
2026-02-25,-3835,UBER TRIP garden 947,REF8510,43210
2026-04-12,2746,Amazon than 313,REF2572,83101
2026-03-12,8494,Amazon everyone 439,REF9145,46673
2026-01-26,7741,AMZN though 387,,12934
2026-03-02,-1685,Tata Consultancy Services Democrat 359,,54938
2026-01-14,-7758,Uber India trouble 864,REF4953,25779
2026-03-24,-9658,TCS religious 863,,39840
2026-01-01,-3795,Amazon India Pvt Ltd part 814,REF4938,29958
2026-03-02,1166,SWIGGY turn 873,,94290
2026-01-14,1639,Swiggy India between 795,,21403
2026-01-28,-8308,Uber man 914,,54906
2026-03-11,5580,Amazon instead 523,REF2721,76034
2026-02-08,-4175,AMZN program 402,REF4985,97636
2026-01-26,-4263,TCS may 559,REF4497,83289
2026-04-15,4141,SWIGGY task 467,,36922
2026-02-12,3984,Uber India yet 527,,11103
2026-02-07,8903,Swiggy check 446,,62388
2026-04-07,641,Amazon India Pvt Ltd marriage 252,REF1220,33236
2026-03-19,-1922,TCS must 855,,49821
2026-02-07,-8158,Tata Consultancy Services between 716,REF3186,63684
2026-01-26,-9752,AMZN evidence 650,REF4241,38675
2026-01-26,-9752,AMZN evidence 650,REF4241,38675
2026-01-08,599,SWIGGY human 695,,55700
2026-02-23,512,Tata Consultancy Services oil 326,,56648
2026-03-15,-2203,Uber India analysis 415,,17202
2026-02-05,-6483,Tata Consultancy Services from 927,,15950
2026-03-09,201,AMZN base 758,,34927
2026-02-05,-5929,Tata Consultancy Services hit 341,,59690
2026-01-26,-6838,Uber India case 234,,53646
2026-02-24,-3616,Swiggy India set 556,REF8544,42442
2026-03-27,6889,Amazon India Pvt Ltd street 180,,25146
2026-03-06,1739,Tata Consultancy Services century 655,,65174
2026-04-18,349,TCS Ltd method 434,REF6110,38027
2026-03-20,7130,AMZN model 999,,73942
2026-03-16,7419,Swiggy receive 298,REF4195,47805
2026-02-18,510,Uber India author 863,,26749
2026-02-18,510,Uber India author 863,,26749
2026-01-06,2669,Swiggy international 994,REF3485,50955
2026-03-01,407,Uber according 578,REF1906,74923
2026-02-20,-9949,SWIGGY activity 154,,84591
2026-03-18,8355,Amazon society 718,REF6627,78495
2026-03-18,8355,Amazon society 718,REF6627,78495
2026-01-28,-1973,SWIGGY treat 143,,92121
2026-02-24,-4392,Tata Consultancy Services fact 969,REF3356,83501
2026-02-24,-4392,Tata Consultancy Services fact 969,REF3356,83501
2026-03-12,-3549,UBER TRIP identify 307,REF7270,61650
2026-03-19,-5684,Swiggy India method 113,,31148
2026-01-23,8506,Amazon early 818,,67499
2026-03-05,-5645,Uber girl 631,,53797
2026-03-25,6403,Swiggy thousand 715,REF2003,86773
2026-02-28,9076,SWIGGY no 134,REF5994,49321
2026-02-05,-1186,Amazon India Pvt Ltd even 589,,50289
2026-03-09,7304,Uber what 171,,11257
2026-03-08,-3596,Swiggy game 363,,56011
2026-03-08,-3596,Swiggy game 363,,56011
2026-04-02,286,TCS Ltd job 961,,52541
2026-02-24,9110,Tata Consultancy Services plan 342,,97544
2026-01-29,8962,AMZN receive 589,,84620
2026-02-25,-1163,Amazon India Pvt Ltd provide 109,REF5741,94911
2026-02-21,-2383,UBER TRIP rather 198,,63866
2026-03-21,-6997,Uber story 897,,93403
2026-02-07,-4266,Swiggy language 888,REF1455,55368
2026-02-10,2294,Amazon nor 149,REF1241,34678
2026-02-07,-7564,SWIGGY environment 120,REF8119,99786
2026-01-22,5163,Uber image 256,,56381
2026-01-24,-206,TCS network 509,REF9105,11302
2026-04-07,1528,UBER TRIP detail 752,REF8936,93034
2026-01-10,804,Swiggy wind 324,REF2102,45889
2026-04-13,6814,AMZN pay 296,,91541
2026-04-13,6814,AMZN pay 296,,91541
2026-01-24,-4535,Amazon type 884,REF5017,83019
2026-02-22,-3989,Tata Consultancy Services low 589,,49701
2026-02-22,-3989,Tata Consultancy Services low 589,,49701
2026-02-20,-5104,Uber Democrat 463,REF5021,80511
2026-04-13,-4281,Swiggy India add 497,,57637
2026-02-03,2116,UBER TRIP produce 843,REF1757,69489
2026-03-18,-8623,Uber India over 475,,59590
2026-01-05,-371,AMZN understand 690,,57693
2026-01-11,-4843,AMZN despite 624,,95758
2026-04-18,1815,Tata Consultancy Services wall 815,REF9342,89992
2026-02-06,2089,Swiggy environmental 569,,85467
2026-03-31,-8377,Uber city 125,REF3942,20243
2026-03-15,-7950,Uber India space 179,,71590
2026-04-02,7483,TCS Ltd certain 381,,14219
2026-01-06,7594,Uber India production 132,REF4921,57349
2026-04-18,1834,UBER TRIP budget 930,,21061
2026-02-03,2366,Amazon India Pvt Ltd happen 835,,73974
2026-02-10,-569,SWIGGY mention 690,REF8604,42286
2026-02-15,5874,Amazon India Pvt Ltd crime 462,,14408
2026-02-18,-9339,AMZN question 533,REF9501,17613
2026-03-09,3202,TCS Ltd prevent 595,REF6596,36518
2026-03-21,5228,Uber project 103,,83837
2026-03-21,5228,Uber project 103,,83837
2026-03-08,1179,SWIGGY management 119,,35219
2026-03-10,-1030,Uber similar 758,REF3231,79948
2026-03-10,-1030,Uber similar 758,REF3231,79948
2026-04-14,-2495,Swiggy husband 954,REF3185,59177
2026-04-18,3565,Amazon India Pvt Ltd position 254,,37992
2026-04-18,3565,Amazon India Pvt Ltd position 254,,37992
2026-03-06,4173,Amazon if 305,REF9054,70009
2026-03-23,7689,UBER TRIP responsibility 451,REF3234,12563
2026-01-13,-1330,Amazon fall 610,REF4045,61786
2026-03-21,-8707,Swiggy market 773,REF6368,38057
2026-03-31,-1490,Uber remember 543,,52442
2026-01-25,8452,Amazon weight 674,REF5570,12463
2026-03-25,-2040,Uber India fact 924,REF4610,92654
2026-03-30,9996,Swiggy India talk 131,,22355
2026-02-16,6992,SWIGGY put 853,REF3296,11519
2026-01-04,6590,Uber India scene 587,,35695
2026-03-02,-6425,SWIGGY old 134,,11766
2026-03-02,-6425,SWIGGY old 134,,11766
2026-04-05,-2365,Amazon India Pvt Ltd onto 116,,86644
2026-04-16,8601,Uber India through 623,,23953
2026-04-16,8601,Uber India through 623,,23953
2026-02-21,429,TCS Ltd manage 737,,45960
2026-04-15,-1442,Swiggy India level 519,REF2206,67858
2026-03-09,-763,Uber India everyone 349,,31056
2026-04-15,3160,SWIGGY whom 584,,68406
2026-02-01,-8963,TCS Ltd million 524,REF9039,99987
